Seller_ID,Product_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,RTO,RTO_%
1224,???? LAST DAY SALE - 50% OFF????   Lucky Sky Terrarium Plant,Delhivery Surface LM,16,9.0,56%,1.0,6%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - L,Bluedart Air LM,3,2.0,66%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - M,Bluedart Air LM,4,4.0,100%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - S,Delhivery Surface LM,1,0.0,0%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - XL,Delhivery Surface LM,5,5.0,100%,0.0,0%
1224,????Last Day Sale 50% OFF????????Pay 1 Get 3 (3packs)_Fresh Seamless High Waist Butt Lift Panties—????VIP Fast Shipping (Only Today)? - XXL,Bluedart Air LM,9,5.0,55%,0.0,0%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Delhivery Surface LM,19,13.0,68%,5.0,26%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Ekart SHB - 0.5kg LM,30,17.0,56%,0.0,0%
1224,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Xpressbees Surface LM,4,4.0,100%,0.0,0%
1224,Wireless Video Doorbell With Camera,Bluedart LM,19,4.0,21%,0.0,0%
1224,Wireless Video Doorbell With Camera,Xpressbees Surface LM,1,0.0,0%,0.0,0%
3284,Premium Shoe Rack(5 year Warranty),DTDC Surface LM,21,4.0,19%,0.0,0%
3284,Premium Shoe Rack(5 year Warranty),Delhivery Surface LM,144,32.0,22%,67.0,46%
3284,Premium Shoe Rack(5 year Warranty),Ekart SHL - 1kg LM,3032,676.0,22%,4.0,0%
3284,Premium Shoe Rack(5 year Warranty),Xpressbees Surface LM,362,58.0,16%,6.0,1%
3313,Ayurvedic Enlarge Oil ???? (Winter Offer Buy 1 Get 1 FREE ??),Delhivery Surface LM,1,0.0,0%,0.0,0%
3550,???? BIG SALE - HALF PRICE????????Splash-proof Faucet Booster Filter (Pack of 2),Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),Bluedart LM,307,203.0,66%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),DTDC Surface LM,5,3.0,60%,0.0,0%
3550,???? Reusable Magic Water Books (Pack of 4),Delhivery Surface LM,80,69.0,86%,6.0,7%
3550,???? Reusable Magic Water Books (Pack of 4),Ekart SHB - 0.5kg LM,2,2.0,100%,0.0,0%
3582,Acupressure  socks,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
4078,Phone Holder 2.0 with Bluetooth audio power bank,Ekart SHB - 0.5kg LM,2,0.0,0%,0.0,0%
4078,Phone Holder 2.0 with Bluetooth audio power bank,Xpressbees Surface LM,1,0.0,0%,0.0,0%
4101,DesiThrift's | 4 in 1 Electric & Portable Dicer |,DTDC Surface LM,1,1.0,100%,0.0,0%
4101,DesiThrift's | 4 in 1 Electric & Portable Dicer |,Ekart SHB - 0.5kg LM,2,1.0,50%,0.0,0%
4101,DesiThrift's | Brazilian Bliss wood ???? - Pack of 1,Delhivery Surface LM,2,0.0,0%,1.0,50%
4101,DesiThrift's |Dusty™| Ceiling Cleaner/Duster,Delhivery Surface LM,1,1.0,100%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - L,Ekart SHB - 0.5kg LM,13,7.0,53%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - M,Ekart SHB - 0.5kg LM,4,3.0,75%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - S,Ekart SHB - 0.5kg LM,3,2.0,66%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - XL,DTDC Surface LM,1,1.0,100%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - XL,Ekart SHB - 0.5kg LM,14,11.0,78%,0.0,0%
4173,???? Last Day 49% Off - Tank With Built-In Bra - Smart Pack - XXL,Ekart SHB - 0.5kg LM,7,4.0,57%,0.0,0%
4268,Premium Synthetic Firoza Ring & Locket - Pendant Locket,Delhivery Surface LM,85,45.0,52%,8.0,9%
4268,Premium Synthetic Firoza Ring & Locket - Pendant Locket,Xpressbees Surface LM,3,1.0,33%,0.0,0%
4268,Premium Synthetic Firoza Ring & Locket - Ring (Adjustable),DTDC Surface LM,3,0.0,0%,0.0,0%
4268,Premium Synthetic Firoza Ring & Locket - Ring (Adjustable),Delhivery Surface LM,347,137.0,39%,71.0,20%
4268,Premium Synthetic Firoza Ring & Locket - Ring (Adjustable),Xpressbees Surface LM,15,7.0,46%,0.0,0%
4299,Brazilian Lucky Wood Plant - Khaki / Pack of 1,Delhivery Surface LM,13,4.0,30%,1.0,7%
4299,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Delhivery Surface LM,9,4.0,44%,1.0,11%
4299,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Ekart SHB - 0.5kg LM,41,18.0,43%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Black Grey / 40 X 120 cm,Xpressbees Surface LM,13,4.0,30%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Blue Grey / 40 X 120 cm,Delhivery Surface LM,4,3.0,75%,1.0,25%
4299,DazzleDry™ - Kitchen Drying Mat - Blue Grey / 40 X 120 cm,Ekart SHB - 0.5kg LM,31,13.0,41%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Blue Grey / 40 X 120 cm,Xpressbees Surface LM,5,3.0,60%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Light Grey / 40 X 120 cm,Delhivery Surface LM,2,1.0,50%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Light Grey / 40 X 120 cm,Ekart SHB - 0.5kg LM,6,4.0,66%,0.0,0%
4299,DazzleDry™ - Kitchen Drying Mat - Light Grey / 40 X 120 cm,Xpressbees Surface LM,1,1.0,100%,0.0,0%
4436,FRESH ORGANICO RAYA D3 AELFBOR 25K,Xpressbees Surface LM,9,0.0,0%,9.0,100%
4535,Acupressure Foot Massage Slippers™ - 10,Ekart SHB - 0.5kg LM,2,1.0,50%,0.0,0%
4535,Acupressure Foot Massage Slippers™ - 5,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
4535,Acupressure Foot Massage Slippers™ - 6,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
4535,Acupressure Foot Massage Slippers™ - 7,Ekart SHB - 0.5kg LM,3,1.0,33%,0.0,0%
4535,Acupressure Foot Massage Slippers™ - 8,Ekart SHB - 0.5kg LM,2,1.0,50%,0.0,0%
4544,AbX™ | Sit up Bar,Bluedart LM,8,2.0,25%,0.0,0%
4544,AbX™ | Sit up Bar,Delhivery Surface LM,1,0.0,0%,0.0,0%
4689,Lucky Brazil Wood Potted Plant ???? Last Day Sale - 50% Off???? - Khaki / Pack of 1,Delhivery Surface LM,1,1.0,100%,0.0,0%
4980,100% Original Adivasi Neelambari Herbal Hair Oil 125ML (Pack of 2),Delhivery Surface LM,1,0.0,0%,0.0,0%
4980,ADIVASI HERBAL HAIR OIL (BUY 1 GET 1 FREE),Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
4980,BLOSDREAM Black Hair Shampoo 3 in 1 Buy 1 Get 1 Free,Bluedart LM,2,1.0,50%,0.0,0%
4980,DefendStick? Pro - Ultimate Security Companion,Bluedart LM,2,0.0,0%,0.0,0%
4980,DefendStick? Pro - Ultimate Security Companion,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
4980,Mens Cargo Pants (Buy 1 Get 1 Free),Delhivery Surface LM,10,4.0,40%,4.0,40%
4980,Mens Cargo Pants (Buy 1 Get 1 Free),Ekart SHB - 0.5kg LM,17,5.0,29%,0.0,0%
4980,ORIGINAL? __ _______ ________ _____ ____ ___ Buy 1 Get 1 Free @50% Off Today Only,Ekart SHB - 0.5kg LM,3,1.0,33%,0.0,0%
4980,Original Adivasi 100% pure herbal hair oil (Buy 1 Get 1 Free),Bluedart LM,5,1.0,20%,0.0,0%
4980,Original Adivasi 100% pure herbal hair oil (Buy 1 Get 1 Free),Delhivery Surface LM,3,1.0,33%,0.0,0%
4980,Original Adivasi 100% pure herbal hair oil (Buy 1 Get 1 Free),Ekart SHB - 0.5kg LM,23,8.0,34%,0.0,0%
4980,Posture Corrector For Women & Men,Bluedart LM,3,0.0,0%,0.0,0%
4980,Posture Corrector For Women & Men,Delhivery Surface LM,2,0.0,0%,1.0,50%
4980,Power Saver Device Save Upto 40% Electricity,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
4980,Premium Lotus Flower Seeds,Bluedart LM,2,0.0,0%,0.0,0%
5050,Herbal Lipoma Removal Cream (50gm),Ekart SHB - 0.5kg LM,5,1.0,20%,0.0,0%
5050,QB™ Herbal Hemorrhoids Relief Spray - ????Doctors Recommended No 1 Piles Spray????,Delhivery Surface LM,2,2.0,100%,0.0,0%
5050,QB™ Herbal Hemorrhoids Relief Spray - ????Doctors Recommended No 1 Piles Spray????,Ekart SHB - 0.5kg LM,5,0.0,0%,0.0,0%
5050,Turmeric Spot Corrector Serum (30ML),Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
5101,Metal Snap Piler With 100 Button,Bluedart LM,7,2.0,28%,0.0,0%
5101,Metal Snap Piler With 100 Button,Xpressbees Surface LM,1,0.0,0%,0.0,0%
5227,"Original Adivasi Herbal Hair Oil – Ayush Certified, Natural Formula for Hair Care & Strength - Pack of 2",Bluedart Air LM,1,0.0,0%,0.0,0%
5227,"Original Adivasi Herbal Hair Oil – Ayush Certified, Natural Formula for Hair Care & Strength - Pack of 2",Bluedart LM,1,0.0,0%,0.0,0%
5227,"Original Adivasi Herbal Hair Oil – Ayush Certified, Natural Formula for Hair Care & Strength - Pack of 2",Delhivery Surface LM,1,0.0,0%,1.0,100%
5227,"Original Adivasi Herbal Hair Oil – Ayush Certified, Natural Formula for Hair Care & Strength - Pack of 2",Ekart SHB - 0.5kg LM,3,3.0,100%,0.0,0%
5365,Golden Glam: Back Relief Spray (Buy 1 Get 1 FREE!),Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
5903,Fresh Sleeping Spray - 1,Delhivery Surface LM,1,0.0,0%,0.0,0%
6066,BrightTone™ V34 Teeth Whitening Serum,Ekart SHB - 0.5kg LM,8,0.0,0%,0.0,0%
6066,BrightTone™ V34 Teeth Whitening Serum,Xpressbees Surface LM,1,0.0,0%,0.0,0%
6170,Gas Saver Burner Stand ( Pack of 2 ),Delhivery Surface LM,1,0.0,0%,0.0,0%
6200,ArcadeBoy™? ( Limited Time Offer ) - 64GB 15000 Games,Ekart SHB - 0.5kg LM,3,2.0,66%,0.0,0%
6200,ArcadeBoy™? ( Limited Time Offer ) - 64GB 15000 Games,Xpressbees Surface LM,1,0.0,0%,0.0,0%
6200,Portable Cordless Pressure Washer ( 6 Months Warranty ),Delhivery Surface LM,1,0.0,0%,1.0,100%
6200,Portable Cordless Pressure Washer ( 6 Months Warranty ),Ekart STO - 0.5kg LM,10,3.0,30%,0.0,0%
6200,Portable Cordless Pressure Washer ( 6 Months Warranty ),Xpressbees Surface LM,1,0.0,0%,0.0,0%
6244,9 in 1 Revolution Push Up Rack Board,DTDC Surface LM,1,0.0,0%,0.0,0%
6244,9 in 1 Revolution Push Up Rack Board,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
6450,Adivasi Herbal Hair Oil 125ML (Pack of 2),Bluedart LM,28,2.0,7%,0.0,0%
6450,Adivasi Herbal Hair Oil 125ML (Pack of 2),Delhivery Surface LM,10,4.0,40%,4.0,40%
6450,Adivasi Herbal Hair Oil 125ML (Pack of 2),Ekart SHB - 0.5kg LM,257,94.0,36%,0.0,0%
6450,Adivasi Herbal Hair Oil 125ML Pack of 2,Bluedart LM,32,6.0,18%,0.0,0%
6450,Adivasi Herbal Hair Oil 125ML Pack of 2,Delhivery Surface LM,3,0.0,0%,1.0,33%
6450,Adivasi Herbal Hair Oil 125ML Pack of 2,Ekart SHB - 0.5kg LM,154,54.0,35%,0.0,0%
6450,Adivasi Herbal Hair Oil 125ML Pack of 2,Xpressbees Surface LM,1,0.0,0%,0.0,0%
6450,SP-4 Ultra+ Whitening Teeth (Pack of 1),Bluedart Air LM,61,18.0,29%,0.0,0%
6450,SP-4 Ultra+ Whitening Teeth (Pack of 1),Delhivery Surface LM,18,4.0,22%,2.0,11%
6450,SP-4 Ultra+ Whitening Teeth (Pack of 1),Ekart SHB - 0.5kg LM,85,21.0,24%,0.0,0%
6492,Fitbeast Sit-up Assistant,Bluedart Air LM,20,8.0,40%,0.0,0%
6492,Fitbeast Sit-up Assistant,Delhivery Surface LM,4,2.0,50%,2.0,50%
6492,Fitbeast Sit-up Assistant,Ekart SHB - 0.5kg LM,72,33.0,45%,0.0,0%
6492,Fitbeast Sit-up Assistant,Xpressbees Surface LM,6,3.0,50%,0.0,0%
6697,Cochlear Blockage Removal Spray(Pack of 2),Delhivery Surface LM,1,0.0,0%,0.0,0%
6697,Cochlear Blockage Removal Spray(Pack of 2),Ekart SHB - 0.5kg LM,13,0.0,0%,0.0,0%
6697,Cochlear Blockage Removal Spray(Pack of 2),Xpressbees Surface LM,3,2.0,66%,0.0,0%
6697,Non-slip and Super Absorbent Floor Mats (Pack of 2),Delhivery Surface LM,1,0.0,0%,0.0,0%
6697,Perfume For Women Pink Love( Pack of 3) - Pack Of 3,Bluedart LM,8,1.0,12%,0.0,0%
6697,Perfume For Women Pink Love( Pack of 3) - Pack Of 3,Ekart SHB - 0.5kg LM,23,6.0,26%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Fleur,Ekart SHB - 0.5kg LM,3,2.0,66%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Mix (Ruby+Fleur+Juicy),Bluedart Air LM,2,0.0,0%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Mix (Ruby+Fleur+Juicy),Ekart SHB - 0.5kg LM,25,12.0,48%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Mix (Ruby+Fleur+Juicy),Xpressbees Surface LM,2,0.0,0%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Ruby,DTDC Surface LM,1,0.0,0%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Ruby,Ekart SHB - 0.5kg LM,11,2.0,18%,0.0,0%
6697,Pixi On The Glow Blush (Pack of 3) - Ruby,Xpressbees Surface LM,1,0.0,0%,0.0,0%
6697,Portable Mini Heat Sealing Machine (pack of 2) - Multi-colour,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
6697,The Red Desireè Dress - Red / L,Bluedart Air LM,1,0.0,0%,0.0,0%
6697,The Red Desireè Dress - Red / S,Bluedart Air LM,2,0.0,0%,0.0,0%
6697,The Red Desireè Dress - Red / XL,Bluedart Air LM,2,0.0,0%,0.0,0%
6697,Wireless Remote Control LED Strobe Light - Pack of 4,Ekart SHB - 0.5kg LM,3,0.0,0%,0.0,0%
6985,BounceBuddy™ | Pets Favourite Self Teasing Ball,Bluedart Air LM,12,7.0,58%,0.0,0%
6985,BounceBuddy™ | Pets Favourite Self Teasing Ball,Bluedart LM,3,2.0,66%,0.0,0%
6986,"Brazilian Lucky Plant For Fortune, Prosperity & Decor - Buy 1 Get 1 FREE",Delhivery Surface LM,2,1.0,50%,1.0,50%
6986,"Brazilian Lucky Plant For Good Fortune, Prosperity & Decor - Buy 1 Get 1 FREE",Delhivery Surface LM,16,11.0,68%,4.0,25%
7328,NatureFortune™ Brazilian Lucky Wood Plant - Pack of 1,Delhivery Surface LM,14,10.0,71%,2.0,14%
7328,NatureFortune™ Brazilian Lucky Wood Plant - Pack of 2,Delhivery Surface LM,10,7.0,70%,1.0,10%
7837,Car Led Interior Strip Light (5 Meters),Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
7841,2 In 1 Glass Oil Dispenser Bottle - Premium Quality & Build - Pack of 1,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
7841,Gas Saver Burner Stand ( Pack of 2 ) - Premium Quality & Build - 2 pieces Burner Stand,Delhivery Surface LM,2,2.0,100%,0.0,0%
7901,"2 in 1 Glass Oil Dispenser Bottle | Olive Oil Dispenser & Oil Sprayer | Oil Pots For Kitchen | Salad,Bbq,Roasting, | Oil Vinegar Bottle Dual-Use Kitchen Cooking Tool (Multi Color)-Glass, 550 Ml - Pack of 1",Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
7901,"2 in 1 Glass Oil Dispenser Bottle | Olive Oil Dispenser & Oil Sprayer | Oil Pots For Kitchen | Salad,Bbq,Roasting, | Oil Vinegar Bottle Dual-Use Kitchen Cooking Tool (Multi Color)-Glass, 550 Ml - Pack of 2",Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
8045,CleanMaster™ Multipurpose Foam Spray,Delhivery Surface LM,3,0.0,0%,2.0,66%
8046,Blendid | Portable Blender Bottle,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
8046,Easy | Ergonomic Cervical Pillow,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
8046,Pack | Mini Heat Sealing Machine,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
8046,Sleek | Hair Straightening Brush,Ekart SHB - 0.5kg LM,1,0.0,0%,1.0,100%
8189,Ceiling Fan Cleaner Dusters With Extension Pole,Delhivery Surface LM,1,1.0,100%,0.0,0%
8192,Posture Corrector Belt Unisex,Bluedart Air LM,2,1.0,50%,0.0,0%
8192,Posture Corrector Belt Unisex,Bluedart LM,19,3.0,15%,0.0,0%
8192,Posture Corrector Belt Unisex,Delhivery Surface LM,7,3.0,42%,2.0,28%
8288,Gas Saver Burner Stand,Delhivery Surface LM,1,1.0,100%,0.0,0%
8372,Red Light Therapy Wand - Pink,Bluedart Air JIT LM,1,0.0,0%,0.0,0%
8372,Wireless bottle lamp - Black,Bluedart Air JIT LM,1,0.0,0%,0.0,0%
8372,Wireless bottle lamp - Black,Bluedart Air LM,2,2.0,100%,0.0,0%
8406,Portable Mini Mop Tools - Pack of 1,Ekart SHB - 0.5kg LM,3,2.0,66%,0.0,0%
8427,SMARTWATCH,Bluedart LM,21,2.0,9%,0.0,0%
8427,SMARTWATCH,DTDC Surface LM,23,5.0,21%,0.0,0%
8427,SMARTWATCH,Delhivery Surface LM,45,10.0,22%,12.0,26%
8427,SMARTWATCH,Ekart SHB - 0.5kg LM,691,81.0,11%,1.0,0%
8427,SMARTWATCH,Xpressbees Surface LM,175,18.0,10%,2.0,1%
8507,Sugar Control LI4 Acupressure Point Clip,Delhivery Surface LM,1,1.0,100%,0.0,0%
8507,Sugar Control LI4 Acupressure Point Clip,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
8610,Lux Curl™: The Ultimate Automatic Hair Curler,Xpressbees Surface LM,1,0.0,0%,0.0,0%
8643,KRAFTI  3-IN-1  LED FACIAL SCULPTOR,Ekart SHB - 0.5kg LM,17,15.0,88%,0.0,0%
8643,KRAFTI  3-IN-1  LED FACIAL SCULPTOR,Xpressbees Surface LM,5,2.0,40%,0.0,0%
8727,TheraCare Mini,Delhivery Surface LM,3,3.0,100%,0.0,0%
8764,Electric Spin Scrubber Electric Cleaning Brush Cordless Power Scrubber,Bluedart LM,2,0.0,0%,0.0,0%
9135,Nex® 2 in 1 Oil Dispenser and Sprayer - Pack of 1,Bluedart Air LM,1,1.0,100%,0.0,0%
9353,Bee Venom Joint And Bone Therapy Cream BUY 1 GET 1 FREE,DTDC Surface LM,1,0.0,0%,0.0,0%
9353,Bee Venom Joint And Bone Therapy Cream BUY 1 GET 1 FREE,Delhivery Surface LM,45,7.0,15%,27.0,60%
9353,Bee Venom Joint And Bone Therapy Cream BUY 1 GET 1 FREE,Ekart SHB - 0.5kg LM,610,26.0,4%,448.0,73%
9353,Bee Venom Joint And Bone Therapy Cream BUY 1 GET 1 FREE,Xpressbees Surface LM,66,5.0,7%,33.0,50%
9372,360° Rotating Mobile Stand,Bluedart LM,1,1.0,100%,0.0,0%
9400,CASSIDY Cooling Oil 60ml (Pack of 2) - Pack of 2,Ekart SHB - 0.5kg LM,2,0.0,0%,2.0,100%
9400,CASSIDY Cooling Oil 60ml (Pack of 2) - Pack of 2,Xpressbees Surface LM,1,0.0,0%,1.0,100%
9427,GlowSphere™ | Ice Globes for Youthful Skin,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9427,RelaxRevive™ Electric Scalp Massager,Delhivery Surface LM,1,0.0,0%,0.0,0%
