Seller_ID,Product_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,RTO,RTO_%
9427,SneakerClean™ Shoe Cleaning Wipes,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Bluedart LM,58,19.0,32%,0.0,0%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Delhivery Surface LM,2,1.0,50%,1.0,50%
9487,SilkSmooth™ | Painless Facial & Body Hair Remover,Ekart SHB - 0.5kg LM,3,1.0,33%,0.0,0%
9523,Hanuman Ji Pendant Oxodaised Silver Chain,Delhivery Surface LM,1,1.0,100%,0.0,0%
9616,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Bluedart LM,3,1.0,33%,0.0,0%
9616,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Xpressbees Surface LM,1,0.0,0%,0.0,0%
9638,Portable Mini Keychain Powerbank - C-Type,Ekart SHB - 0.5kg LM,2,0.0,0%,0.0,0%
9638,Portable Mini Keychain Powerbank - C-Type,Xpressbees Surface LM,3,0.0,0%,0.0,0%
9640,PureMist™ Air Humidifier (Pack of 2),Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
9701,PrimeDrops™? Rudraksha & Citrine Crystal Energy Bracelets | Pack of 2,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
9708,CleanMaster™ Multipurpose Foam Spray,Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9708,CleanMaster™ Multipurpose Foam Spray,Xpressbees Surface LM,1,0.0,0%,0.0,0%
9719,24K Antique Gold Plated Balaji Charan - ???? BUY 1 & GET 1 GIFT ITEM FREE ????,Delhivery Surface LM,3,2.0,66%,0.0,0%
9822,Instant Drainage - Buy 1 Get 1 | Blocking Sinks and Pipes - 3x Max Powder | All-Purpose Use,Bluedart Air LM,1,1.0,100%,0.0,0%
9870,Clean Any Surface in Just a Few Seconds!,Delhivery Surface LM,2,1.0,50%,1.0,50%
9870,Clean Any Surface in Just a Few Seconds!,Ekart SHB - 0.5kg LM,30,11.0,36%,0.0,0%
9870,Clean Any Surface in Just a Few Seconds!,Xpressbees Surface LM,2,1.0,50%,0.0,0%
9920,Car Cradle Mobile Phone Holder,Delhivery Surface LM,1,0.0,0%,1.0,100%
9920,Car Cradle Mobile Phone Holder,Ekart STO - 0.5kg LM,11,6.0,54%,0.0,0%
9920,Car Cradle Mobile Phone Holder,Xpressbees Surface LM,2,2.0,100%,0.0,0%
9920,"GlowMax Pro | Ultra-Soft, Finger-Fit Silicone Brush (Pack Of 2)",Bluedart LM,3,2.0,66%,0.0,0%
9920,High Protection Quick Car Coating Spray (Pack of 2),Ekart SHB - 0.5kg LM,1,1.0,100%,0.0,0%
9920,High Protection Quick Car Coating Spray (Pack of 2),Xpressbees Surface LM,1,0.0,0%,0.0,0%
9958,AuraGlow™ - Electric Makeup Brush Cleaner,Ekart SHB - 0.5kg LM,6,3.0,50%,0.0,0%
9976,Apple Watch Ultra 2 + Airpods 2nd Gen. COMBO,Bluedart LM,2,0.0,0%,0.0,0%
9976,Apple Watch Ultra 2 + Airpods 2nd Gen. COMBO,Delhivery Surface LM,1,0.0,0%,0.0,0%
10016,"Screen Magnifier 3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming",Delhivery Surface LM,1,0.0,0%,1.0,100%
10035,EaseWave™ Period Cramps Therapy Device,Ekart SHB - 0.5kg LM,1,0.0,0%,0.0,0%
10035,EaseWave™ Period Cramps Therapy Device,Xpressbees Surface LM,1,1.0,100%,0.0,0%
10064,A Gaolin Vintage Branded Polo T-Shirt - WHITE+BLACK+BLUE+BEIGE / s,Bluedart LM,1,0.0,0%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / 4xl,Delhivery Surface LM,2,1.0,50%,1.0,50%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / 5xl,Delhivery Surface LM,5,2.0,40%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / l,Delhivery Surface LM,8,3.0,37%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / m,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / s,Delhivery Surface LM,7,3.0,42%,2.0,28%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xl,Delhivery Surface LM,7,6.0,85%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xxl,Delhivery Surface LM,5,1.0,20%,4.0,80%
10064,Cotton V-neck Mid-sleeve Casual Top. (White+Black+Khaki+Green) / xxxl,Delhivery Surface LM,3,0.0,0%,2.0,66%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / 5xl,Bluedart LM,3,1.0,33%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / 5xl,Delhivery Surface LM,2,2.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / l,Delhivery Surface LM,2,1.0,50%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / m,Bluedart LM,1,1.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / m,Delhivery Surface LM,3,1.0,33%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / s,Delhivery Surface LM,3,1.0,33%,1.0,33%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xl,Bluedart LM,1,1.0,100%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xl,Delhivery Surface LM,2,1.0,50%,1.0,50%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xxl,Bluedart LM,1,0.0,0%,0.0,0%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xxl,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Cotton V-neck Mid-sleeve Casual Top. - Pack of 4 (White+Black+Khaki+Green) / xxxl,Delhivery Surface LM,1,0.0,0%,0.0,0%
10064,Iron-free casual short-sleeved silk shirt / xl,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Linen: Essential Men's Shirt (1+1),Delhivery Surface LM,2,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 2XL,Bluedart LM,6,3.0,50%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 2XL,DTDC Surface LM,1,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 2XL,Delhivery Surface LM,7,1.0,14%,4.0,57%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 3XL,Bluedart LM,6,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 3XL,Delhivery Surface LM,5,0.0,0%,3.0,60%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 4XL,Bluedart LM,2,1.0,50%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 4XL,Delhivery Surface LM,2,1.0,50%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 5XL,Bluedart LM,4,2.0,50%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / 5XL,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / L,Bluedart LM,4,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / L,DTDC Surface LM,1,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / L,Delhivery Surface LM,4,2.0,50%,2.0,50%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / M,Bluedart LM,4,1.0,25%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / M,DTDC Surface LM,2,2.0,100%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / M,Delhivery Surface LM,5,0.0,0%,2.0,40%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / S,Bluedart LM,1,0.0,0%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / S,Delhivery Surface LM,3,0.0,0%,1.0,33%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / XL,Bluedart LM,5,2.0,40%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / XL,DTDC Surface LM,4,1.0,25%,0.0,0%
10064,Linen: Essential Men's Shirt (1+1) - White + Apricot / XL,Delhivery Surface LM,13,4.0,30%,6.0,46%
10064,Men's Classic Solid Color Cargo Pants - Multiple Flap Pockets,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Men's Classic Solid Color Cargo Pants - Multiple Flap Pockets  (Black+Grey+Brown) / 34,Bluedart LM,1,0.0,0%,0.0,0%
10064,Men's Classic Solid Color Cargo Pants - Multiple Flap Pockets  (Black+Grey+Brown) / 34,Delhivery Surface LM,1,1.0,100%,0.0,0%
10064,Men's Classic Solid Color Cargo Pants - Multiple Flap Pockets (Black+Grey+Brown) / 36,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Men's Outdoor Track Pants,Bluedart LM,7,1.0,14%,0.0,0%
10064,Men's Outdoor Track Pants,Delhivery Surface LM,33,6.0,18%,16.0,48%
10064,Men's Outdoor Track Pants,Xpressbees Surface LM,1,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 28,Bluedart LM,61,5.0,8%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 28,DTDC Surface LM,6,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 28,Delhivery Surface LM,59,8.0,13%,24.0,40%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 28,Xpressbees Surface LM,1,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 30,Bluedart LM,68,12.0,17%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 30,DTDC Surface LM,12,1.0,8%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 30,Delhivery Surface LM,62,10.0,16%,31.0,50%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 30,Xpressbees Surface LM,2,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 32,Bluedart LM,155,27.0,17%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 32,DTDC Surface LM,26,4.0,15%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 32,Delhivery Surface LM,196,42.0,21%,89.0,45%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 32,Xpressbees Surface LM,1,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 34,Bluedart LM,224,43.0,19%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 34,DTDC Surface LM,47,7.0,14%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 34,Delhivery Surface LM,233,54.0,23%,110.0,47%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 34,Xpressbees Surface LM,3,1.0,33%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 36,Bluedart LM,166,25.0,15%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 36,DTDC Surface LM,20,5.0,25%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 36,Delhivery Surface LM,168,26.0,15%,83.0,49%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 36,Xpressbees Surface LM,1,0.0,0%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 38,Bluedart LM,92,12.0,13%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 38,DTDC Surface LM,8,1.0,12%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 38,Delhivery Surface LM,93,17.0,18%,50.0,53%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 40,Bluedart LM,49,7.0,14%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 40,DTDC Surface LM,10,1.0,10%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 40,Delhivery Surface LM,54,11.0,20%,21.0,38%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 42,Bluedart LM,36,6.0,16%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 42,DTDC Surface LM,8,4.0,50%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 42,Delhivery Surface LM,49,8.0,16%,30.0,61%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 44,Bluedart LM,46,11.0,23%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 44,DTDC Surface LM,12,3.0,25%,0.0,0%
10064,Men's Outdoor Track Pants - Black+Grey+Brown / 44,Delhivery Surface LM,43,7.0,16%,23.0,53%
10064,Minimalist Mark Collar T-Shirts (Khaki + White + Green + Black) / L,Delhivery Surface LM,1,1.0,100%,0.0,0%
10064,Multi-pocket cargo pants,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 28,Bluedart LM,10,2.0,20%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 28,DTDC Surface LM,1,0.0,0%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 28,Delhivery Surface LM,16,2.0,12%,7.0,43%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 30,Bluedart LM,13,1.0,7%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 30,Delhivery Surface LM,16,4.0,25%,5.0,31%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 32,Bluedart LM,15,4.0,26%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 32,DTDC Surface LM,2,1.0,50%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 32,Delhivery Surface LM,30,5.0,16%,17.0,56%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 34,Bluedart LM,16,2.0,12%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 34,DTDC Surface LM,3,2.0,66%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 34,Delhivery Surface LM,31,8.0,25%,11.0,35%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 36,Bluedart LM,19,1.0,5%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 36,Delhivery Surface LM,21,5.0,23%,10.0,47%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 38,Bluedart LM,7,0.0,0%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 38,Delhivery Surface LM,8,2.0,25%,4.0,50%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 40,Bluedart LM,6,2.0,33%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 40,Delhivery Surface LM,9,3.0,33%,4.0,44%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 42,Bluedart LM,4,0.0,0%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 44,Bluedart LM,1,1.0,100%,0.0,0%
10064,Multi-pocket cargo pants - Army Green + Black + Grey / 44,Delhivery Surface LM,7,2.0,28%,2.0,28%
10064,UrbanWear  T-shirt / 2XL,Delhivery Surface LM,11,1.0,9%,6.0,54%
10064,UrbanWear  T-shirt / 3XL,Delhivery Surface LM,4,0.0,0%,3.0,75%
10064,UrbanWear  T-shirt / L,Bluedart LM,1,0.0,0%,0.0,0%
10064,UrbanWear  T-shirt / L,Delhivery Surface LM,7,0.0,0%,5.0,71%
10064,UrbanWear  T-shirt / M,Bluedart LM,1,0.0,0%,0.0,0%
10064,UrbanWear  T-shirt / M,DTDC Surface LM,1,0.0,0%,0.0,0%
10064,UrbanWear  T-shirt / M,Delhivery Surface LM,3,1.0,33%,1.0,33%
10064,UrbanWear  T-shirt / XL,Delhivery Surface LM,9,1.0,11%,3.0,33%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / 2XL,Bluedart LM,2,0.0,0%,0.0,0%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / 2XL,Delhivery Surface LM,6,0.0,0%,4.0,66%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / 3XL,Delhivery Surface LM,3,0.0,0%,2.0,66%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / L,Bluedart LM,1,0.0,0%,0.0,0%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / L,Delhivery Surface LM,4,2.0,50%,1.0,25%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / M,Bluedart LM,1,0.0,0%,0.0,0%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / M,Delhivery Surface LM,1,0.0,0%,1.0,100%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / XL,Bluedart LM,2,0.0,0%,0.0,0%
10064,UrbanWear Pack Of 4 T-shirt - Pack of 4 / XL,Delhivery Surface LM,8,1.0,12%,4.0,50%
10070,AirFlow Seamless Quick-Dry Boxer Briefs / L,Bluedart Air LM,1,1.0,100%,0.0,0%
10070,AirFlow Seamless Quick-Dry Boxer Briefs / XS,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,Black Gold Comfy Stretchy Boxer / M,Bluedart Air LM,1,1.0,100%,0.0,0%
10070,BreathMag Ultra Brief / l,Bluedart Air LM,2,0.0,0%,0.0,0%
10070,BreathMag Ultra Brief/ xs,Bluedart Air LM,1,1.0,100%,0.0,0%
10070,BreezeFlex Sets For Daily And Casual Wear / l,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,BreezeFlex Sets For Daily And Casual Wear / m,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,BreezeFlex Sets For Daily And Casual Wear/ xl,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,HealthGuard Seamless Underwear For Men,Bluedart Air LM,4,1.0,25%,0.0,0%
10070,HealthGuard Seamless Underwear For Men. / M,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,HealthGuard Seamless Underwear For Men. / XS,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,HealthGuard Seamless Underwear For Men./ M,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,HygienePro ComfortBreathe Briefs - Set of 5 / M,Delhivery Surface LM,1,0.0,0%,1.0,100%
10070,HygienePro ComfortBreathe Briefs / L,Bluedart Air LM,1,1.0,100%,0.0,0%
10070,Intimen - bamboo fiber underwear for men / xs,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,Invisible Lift Shapewear Boxer Briefs for Men - Buy 2 Get 3 Free / M,Delhivery Surface LM,1,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG,Bluedart Air LM,9,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG,Xpressbees Surface LM,1,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG  / M,Bluedart Air LM,117,11.0,9%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG  / M,Delhivery Surface LM,19,8.0,42%,4.0,21%
10070,Luxury Energy Breathable Men's Briefs UG  / M,Xpressbees Surface LM,2,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG  / XL,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG  / XXL,Bluedart Air LM,1,1.0,100%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG  / XXXL,Bluedart Air LM,1,0.0,0%,0.0,0%
10070,Luxury Energy Breathable Men's Briefs UG -,Bluedart Air LM,1,0.0,0%,0.0,0%
