Seller_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,Exception,Exception_%,In Transit,In_Transit_%,Out For Delivery,Out_For_Delivery_%,RTO,RTO_%
 Fizzi.Shop,Bluedart Air,1,0,0%,0,0%,1,100%,0,0%,0,0%
 Fizzi.Shop,Ekart SHB - 0.5kg,4,0,0%,0,0%,3,75%,0,0%,1,25%
 Fizzi.Shop,Ekart SHL - 1kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
 Fizzi.Shop,Grand_Total,6,0,0%,0,0%,5,83%,0,0%,1,16%
ANAROCK Property Consultants Private Limited,DTDC Surface,6,0,0%,0,0%,6,100%,0,0%,0,0%
ANAROCK Property Consultants Private Limited,Delhivery Surface,159,13,8%,7,4%,122,76%,14,8%,3,1%
ANAROCK Property Consultants Private Limited,Ekart SHB - 0.5kg,291,39,13%,24,8%,184,63%,34,11%,10,3%
ANAROCK Property Consultants Private Limited,Xpressbees Surface,54,8,14%,8,14%,31,57%,4,7%,3,5%
ANAROCK Property Consultants Private Limited,Grand_Total,510,60,11%,39,7%,343,67%,52,10%,16,3%
AP Enterprises,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
AP Enterprises,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Aarvishop,Delhivery Surface,1,0,0%,0,0%,0,0%,0,0%,1,100%
Aarvishop,Grand_Total,1,0,0%,0,0%,0,0%,0,0%,1,100%
Aasif Enterprise,Bluedart,4,0,0%,0,0%,4,100%,0,0%,0,0%
Aasif Enterprise,Bluedart Air,1,0,0%,0,0%,1,100%,0,0%,0,0%
Aasif Enterprise,Delhivery Surface,8,0,0%,0,0%,8,100%,0,0%,0,0%
Aasif Enterprise,Xpressbees Surface,10,0,0%,0,0%,10,100%,0,0%,0,0%
Aasif Enterprise,Grand_Total,23,0,0%,0,0%,23,100%,0,0%,0,0%
Aetgercraft,Bluedart,7,1,14%,0,0%,5,71%,1,14%,0,0%
Aetgercraft,Grand_Total,7,1,14%,0,0%,5,71%,1,14%,0,0%
Aethercraft,Bluedart,11,4,36%,1,9%,6,54%,0,0%,0,0%
Aethercraft,Grand_Total,11,4,36%,1,9%,6,54%,0,0%,0,0%
Aldex,Bluedart,3,0,0%,2,66%,1,33%,0,0%,0,0%
Aldex,Delhivery Surface,3,0,0%,1,33%,2,66%,0,0%,0,0%
Aldex,Grand_Total,6,0,0%,3,50%,3,50%,0,0%,0,0%
Aloveglow,Xpressbees Surface,9,0,0%,0,0%,0,0%,0,0%,9,100%
Aloveglow,Grand_Total,9,0,0%,0,0%,0,0%,0,0%,9,100%
Ansh Arya,Bluedart Air,1,1,100%,0,0%,0,0%,0,0%,0,0%
Ansh Arya,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
Ar seller ecom india,Delhivery Surface,2,0,0%,1,50%,0,0%,1,50%,0,0%
Ar seller ecom india,Grand_Total,2,0,0%,1,50%,0,0%,1,50%,0,0%
Arcane Ventures,Bluedart,6,0,0%,0,0%,6,100%,0,0%,0,0%
Arcane Ventures,Xpressbees Surface,4,1,25%,0,0%,3,75%,0,0%,0,0%
Arcane Ventures,Grand_Total,10,1,10%,0,0%,9,90%,0,0%,0,0%
Aspire collection,Bluedart Air,1,1,100%,0,0%,0,0%,0,0%,0,0%
Aspire collection,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
Beauty Bot,Bluedart,79,11,13%,43,54%,17,21%,8,10%,0,0%
Beauty Bot,Bluedart Air,66,20,30%,35,53%,3,4%,8,12%,0,0%
Beauty Bot,Delhivery Surface,65,8,12%,11,16%,29,44%,9,13%,8,12%
Beauty Bot,Ekart SHB - 0.5kg,1063,191,17%,178,16%,466,43%,131,12%,97,9%
Beauty Bot,Xpressbees Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
Beauty Bot,Grand_Total,1274,230,18%,268,21%,515,40%,156,12%,105,8%
Beyond Vision Media,Delhivery Surface,5,3,60%,0,0%,2,40%,0,0%,0,0%
Beyond Vision Media,Grand_Total,5,3,60%,0,0%,2,40%,0,0%,0,0%
Blinkhut,Bluedart,39,3,7%,14,35%,16,41%,6,15%,0,0%
Blinkhut,Bluedart Air,2,1,50%,1,50%,0,0%,0,0%,0,0%
Blinkhut,Delhivery Surface,18,3,16%,2,11%,11,61%,0,0%,2,11%
Blinkhut,Grand_Total,59,7,11%,17,28%,27,45%,6,10%,2,3%
Buyquickly.in,Bluedart,19,0,0%,11,57%,4,21%,4,21%,0,0%
Buyquickly.in,Delhivery Surface,4,0,0%,0,0%,3,75%,0,0%,1,25%
Buyquickly.in,Grand_Total,23,0,0%,11,47%,7,30%,4,17%,1,4%
Bytespark,Bluedart,1,0,0%,1,100%,0,0%,0,0%,0,0%
Bytespark,Grand_Total,1,0,0%,1,100%,0,0%,0,0%,0,0%
CHANDRA AND FAMILY COMMERCE COMPANY,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
CHANDRA AND FAMILY COMMERCE COMPANY,Bluedart Air,34,10,29%,8,23%,9,26%,7,20%,0,0%
CHANDRA AND FAMILY COMMERCE COMPANY,Delhivery Surface,19,2,10%,0,0%,12,63%,3,15%,2,10%
CHANDRA AND FAMILY COMMERCE COMPANY,Ekart SHB - 0.5kg,190,38,20%,19,10%,97,51%,23,12%,13,6%
CHANDRA AND FAMILY COMMERCE COMPANY,Xpressbees Surface,25,3,12%,3,12%,18,72%,1,4%,0,0%
CHANDRA AND FAMILY COMMERCE COMPANY,Grand_Total,269,53,19%,30,11%,137,50%,34,12%,15,5%
COMFORT SHOPPING HUB,Ekart SHB - 0.5kg,1,0,0%,1,100%,0,0%,0,0%,0,0%
COMFORT SHOPPING HUB,Xpressbees Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
COMFORT SHOPPING HUB,Grand_Total,2,0,0%,2,100%,0,0%,0,0%,0,0%
Chicboutique Shop,Bluedart Air,1733,343,19%,1018,58%,196,11%,167,9%,9,0%
Chicboutique Shop,DTDC Surface,12,0,0%,1,8%,9,75%,2,16%,0,0%
Chicboutique Shop,Delhivery Surface,496,65,13%,46,9%,225,45%,81,16%,79,15%
Chicboutique Shop,Xpressbees Surface,120,6,5%,11,9%,91,75%,7,5%,5,4%
Chicboutique Shop,Grand_Total,2361,414,17%,1076,45%,521,22%,257,10%,93,3%
City Circle,Ekart SHB - 0.5kg,2,2,100%,0,0%,0,0%,0,0%,0,0%
City Circle,Grand_Total,2,2,100%,0,0%,0,0%,0,0%,0,0%
DESIHUT,Bluedart,4,0,0%,4,100%,0,0%,0,0%,0,0%
DESIHUT,Grand_Total,4,0,0%,4,100%,0,0%,0,0%,0,0%
Daily Life Hacks,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Daily Life Hacks,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Dreamy Owl Ventures,Ekart SHB - 0.5kg,11,3,27%,2,18%,3,27%,3,27%,0,0%
Dreamy Owl Ventures,Grand_Total,11,3,27%,2,18%,3,27%,3,27%,0,0%
Dynatia Store,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
Dynatia Store,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Ecomtornado,Bluedart Air,10,0,0%,0,0%,9,90%,0,0%,1,10%
Ecomtornado,Delhivery Surface,22,0,0%,0,0%,22,100%,0,0%,0,0%
Ecomtornado,Grand_Total,32,0,0%,0,0%,31,96%,0,0%,1,3%
Eleganto.co.in,Ekart SHL - 1kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Eleganto.co.in,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Enigma Essentials,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
Enigma Essentials,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
Enigma Essentials,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
Exodus mart,Ekart SHB - 0.5kg,3,2,66%,1,33%,0,0%,0,0%,0,0%
Exodus mart,Grand_Total,3,2,66%,1,33%,0,0%,0,0%,0,0%
FRESHOKIT INDIA PVT LTD,Bluedart Air,23,3,13%,9,39%,9,39%,2,8%,0,0%
FRESHOKIT INDIA PVT LTD,DTDC Surface,5,0,0%,2,40%,1,20%,2,40%,0,0%
FRESHOKIT INDIA PVT LTD,Delhivery Surface,38,3,7%,4,10%,25,65%,2,5%,4,10%
FRESHOKIT INDIA PVT LTD,Ekart SHB - 0.5kg,117,9,7%,26,22%,67,57%,9,7%,6,5%
FRESHOKIT INDIA PVT LTD,Xpressbees Surface,12,1,8%,4,33%,5,41%,1,8%,1,8%
FRESHOKIT INDIA PVT LTD,Grand_Total,195,16,8%,45,23%,107,54%,16,8%,11,5%
Famfia,Bluedart Air,2,2,100%,0,0%,0,0%,0,0%,0,0%
Famfia,Bluedart Air JIT,4,2,50%,0,0%,0,0%,2,50%,0,0%
Famfia,Grand_Total,6,4,66%,0,0%,0,0%,2,33%,0,0%
FocusBasic,Bluedart Air,13,2,15%,7,53%,2,15%,2,15%,0,0%
FocusBasic,Delhivery Surface,9,0,0%,0,0%,5,55%,2,22%,2,22%
FocusBasic,Ekart SHB - 0.5kg,38,4,10%,5,13%,23,60%,6,15%,0,0%
FocusBasic,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
FocusBasic,Grand_Total,62,6,9%,12,19%,32,51%,10,16%,2,3%
Freshstart,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Freshstart,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Fun fishing,Bluedart,19,1,5%,4,21%,14,73%,0,0%,0,0%
Fun fishing,DTDC Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Fun fishing,Delhivery Surface,16,1,6%,3,18%,11,68%,0,0%,1,6%
Fun fishing,Ekart SHB - 0.5kg,62,3,4%,0,0%,55,88%,3,4%,1,1%
Fun fishing,Xpressbees Surface,13,0,0%,2,15%,11,84%,0,0%,0,0%
Fun fishing,Grand_Total,112,5,4%,9,8%,93,83%,3,2%,2,1%
Gadgets hub,Xpressbees Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
Gadgets hub,Grand_Total,1,0,0%,1,100%,0,0%,0,0%,0,0%
Globalgoods,Bluedart,22,0,0%,8,36%,13,59%,1,4%,0,0%
Globalgoods,DTDC Surface,20,1,5%,2,10%,12,60%,5,25%,0,0%
Globalgoods,Delhivery Surface,27,2,7%,3,11%,17,62%,3,11%,2,7%
Globalgoods,Ekart SHB - 0.5kg,387,21,5%,73,18%,193,49%,48,12%,52,13%
Globalgoods,Xpressbees Surface,93,1,1%,17,18%,49,52%,12,12%,14,15%
Globalgoods,Grand_Total,549,25,4%,103,18%,284,51%,69,12%,68,12%
Happier Home,Delhivery Surface,1,0,0%,0,0%,0,0%,1,100%,0,0%
Happier Home,Ekart SHB - 0.5kg,8,1,12%,0,0%,7,87%,0,0%,0,0%
Happier Home,Ekart SHL - 1kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Happier Home,Ekart STO - 0.5kg,5,0,0%,1,20%,0,0%,2,40%,2,40%
Happier Home,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Happier Home,Grand_Total,16,1,6%,1,6%,9,56%,3,18%,2,12%
Happy Home,Bluedart Air,3,0,0%,0,0%,3,100%,0,0%,0,0%
Happy Home,Delhivery Surface,9,0,0%,0,0%,7,77%,1,11%,1,11%
Happy Home,Ekart SHB - 0.5kg,57,2,3%,0,0%,51,89%,3,5%,1,1%
Happy Home,Ekart STO - 0.5kg,23,4,17%,4,17%,9,39%,5,21%,1,4%
Happy Home,Xpressbees Surface,10,0,0%,1,10%,8,80%,1,10%,0,0%
Happy Home,Grand_Total,102,6,5%,5,4%,78,76%,10,9%,3,2%
HappyKart,Ekart SHB - 0.5kg,10,2,20%,1,10%,3,30%,3,30%,1,10%
HappyKart,Grand_Total,10,2,20%,1,10%,3,30%,3,30%,1,10%
Heera enterprises,Ekart SHB - 0.5kg,1,1,100%,0,0%,0,0%,0,0%,0,0%
Heera enterprises,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
IKAN,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
IKAN,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
IKAN,Grand_Total,2,1,50%,0,0%,1,50%,0,0%,0,0%
INFINITY STORE,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
INFINITY STORE,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Implazo,Bluedart,3,1,33%,0,0%,1,33%,1,33%,0,0%
Implazo,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Implazo,Grand_Total,4,1,25%,0,0%,2,50%,1,25%,0,0%
Imran Malik,Delhivery Surface,41,0,0%,0,0%,41,100%,0,0%,0,0%
Imran Malik,Grand_Total,41,0,0%,0,0%,41,100%,0,0%,0,0%
Indianstore,Delhivery Surface,4,0,0%,0,0%,4,100%,0,0%,0,0%
Indianstore,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
Innovcart,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
Innovcart,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Innovcart,Grand_Total,2,1,50%,0,0%,1,50%,0,0%,0,0%
Inparix,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Inparix,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
J.S Traders,Ekart SHB - 0.5kg,1,0,0%,1,100%,0,0%,0,0%,0,0%
J.S Traders,Xpressbees Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
J.S Traders,Grand_Total,2,1,50%,1,50%,0,0%,0,0%,0,0%
Jugaad Innovations,Ekart SHB - 0.5kg,1,1,100%,0,0%,0,0%,0,0%,0,0%
Jugaad Innovations,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
KMS Store,Bluedart,2,0,0%,0,0%,2,100%,0,0%,0,0%
KMS Store,Delhivery Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
KMS Store,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
Karnations,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Karnations,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Kartify,Delhivery Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
Kartify,Ekart SHB - 0.5kg,2,2,100%,0,0%,0,0%,0,0%,0,0%
Kartify,Grand_Total,3,2,66%,1,33%,0,0%,0,0%,0,0%
Khemka GOC 2024,DTDC Surface,116,4,3%,14,12%,91,78%,7,6%,0,0%
Khemka GOC 2024,Delhivery Surface,396,33,8%,27,6%,219,55%,37,9%,80,20%
Khemka GOC 2024,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Khemka GOC 2024,Ekart SHL - 1kg,9388,808,8%,1251,13%,5534,58%,881,9%,914,9%
Khemka GOC 2024,Xpressbees Surface,1035,65,6%,164,15%,613,59%,92,8%,101,9%
Khemka GOC 2024,Grand_Total,10936,910,8%,1456,13%,6458,59%,1017,9%,1095,10%
Kishlaya Anand SInha,Delhivery Surface,16,2,12%,0,0%,12,75%,2,12%,0,0%
Kishlaya Anand SInha,Ekart SHB - 0.5kg,11,1,9%,0,0%,9,81%,1,9%,0,0%
Kishlaya Anand SInha,Xpressbees Surface,4,0,0%,0,0%,3,75%,1,25%,0,0%
Kishlaya Anand SInha,Grand_Total,31,3,9%,0,0%,24,77%,4,12%,0,0%
KronicKart,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
KronicKart,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Litmax Global,Delhivery Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
Litmax Global,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Litmax Global,Grand_Total,2,0,0%,1,50%,1,50%,0,0%,0,0%
Lux Eva,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
Lux Eva,Xpressbees Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
Lux Eva,Grand_Total,4,0,0%,1,25%,3,75%,0,0%,0,0%
Luxelayers,Bluedart,1061,237,22%,740,69%,14,1%,56,5%,14,1%
Luxelayers,DTDC Surface,220,36,16%,105,47%,46,20%,32,14%,1,0%
Luxelayers,Delhivery Surface,1538,288,18%,116,7%,200,13%,140,9%,794,51%
Luxelayers,Xpressbees Surface,16,1,6%,5,31%,6,37%,3,18%,1,6%
Luxelayers,Grand_Total,2835,562,19%,966,34%,266,9%,231,8%,810,28%
MG BUSINESS,Delhivery Surface,13,2,15%,0,0%,10,76%,1,7%,0,0%
MG BUSINESS,Grand_Total,13,2,15%,0,0%,10,76%,1,7%,0,0%
Magicbox,Ekart SHB - 0.5kg,1,0,0%,1,100%,0,0%,0,0%,0,0%
Magicbox,Grand_Total,1,0,0%,1,100%,0,0%,0,0%,0,0%
Magika,Delhivery Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Magika,Ekart SHB - 0.5kg,4,0,0%,0,0%,4,100%,0,0%,0,0%
Magika,Grand_Total,6,0,0%,0,0%,6,100%,0,0%,0,0%
Mahadev Enterprises,DTDC Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Mahadev Enterprises,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
MarketFuse,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
MarketFuse,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
MarketFuse,Ekart STO - 0.5kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
MarketFuse,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
Mashu Stores,Ekart STO - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Mashu Stores,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Masttaba,Ekart SHB - 0.5kg,3,2,66%,0,0%,0,0%,1,33%,0,0%
Masttaba,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Masttaba,Grand_Total,4,2,50%,0,0%,1,25%,1,25%,0,0%
Ministuff,Delhivery Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Ministuff,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
Mopixie Store,Bluedart Air,1,1,100%,0,0%,0,0%,0,0%,0,0%
Mopixie Store,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
NILAY CHAKRAPANI,Delhivery Surface,14,0,0%,0,0%,14,100%,0,0%,0,0%
NILAY CHAKRAPANI,Ekart SHB - 0.5kg,598,0,0%,0,0%,598,100%,0,0%,0,0%
NILAY CHAKRAPANI,Xpressbees Surface,79,0,0%,0,0%,79,100%,0,0%,0,0%
NILAY CHAKRAPANI,Grand_Total,691,0,0%,0,0%,691,100%,0,0%,0,0%
NOVVA,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
NOVVA,Grand_Total,3,0,0%,0,0%,3,100%,0,0%,0,0%
Nate Ent,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
Nate Ent,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Nate Ent,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
Nex Gadgets,Bluedart Air,3,1,33%,0,0%,2,66%,0,0%,0,0%
Nex Gadgets,Grand_Total,3,1,33%,0,0%,2,66%,0,0%,0,0%
Nexamart,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Nexamart,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Nilay,Bluedart,2,0,0%,2,100%,0,0%,0,0%,0,0%
Nilay,DTDC Surface,6,0,0%,1,16%,4,66%,1,16%,0,0%
Nilay,Delhivery Surface,105,10,9%,7,6%,39,37%,19,18%,30,28%
Nilay,Ekart SHB - 0.5kg,3944,376,9%,765,19%,2072,52%,291,7%,440,11%
Nilay,Xpressbees Surface,456,30,6%,58,12%,291,63%,30,6%,47,10%
Nilay,Grand_Total,4513,416,9%,833,18%,2406,53%,341,7%,517,11%
No Company,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
No Company,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Noebil Eleganze,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Noebil Eleganze,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
One Box,Delhivery Surface,8,0,0%,2,25%,3,37%,3,37%,0,0%
One Box,Ekart SHB - 0.5kg,3,0,0%,2,66%,1,33%,0,0%,0,0%
One Box,Grand_Total,11,0,0%,4,36%,4,36%,3,27%,0,0%
OneStopBuy,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
OneStopBuy,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
Opalvista Marketing,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
Opalvista Marketing,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
PAULS ENDEAVOUR,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
PAULS ENDEAVOUR,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
PAULS ENDEAVOUR,Grand_Total,4,0,0%,0,0%,4,100%,0,0%,0,0%
PrimeKart,Bluedart,17,2,11%,2,11%,13,76%,0,0%,0,0%
PrimeKart,Delhivery Surface,8,0,0%,0,0%,7,87%,0,0%,1,12%
PrimeKart,Ekart SHB - 0.5kg,52,1,1%,0,0%,48,92%,3,5%,0,0%
PrimeKart,Ekart STO - 0.5kg,43,6,13%,2,4%,27,62%,5,11%,3,6%
PrimeKart,Xpressbees Surface,15,2,13%,1,6%,12,80%,0,0%,0,0%
PrimeKart,Grand_Total,135,11,8%,5,3%,107,79%,8,5%,4,2%
Primedrops.in,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Primedrops.in,Ekart SHB - 0.5kg,6,0,0%,2,33%,3,50%,1,16%,0,0%
Primedrops.in,Grand_Total,7,0,0%,2,28%,4,57%,1,14%,0,0%
Quirk Mart,Ekart SHB - 0.5kg,1,0,0%,1,100%,0,0%,0,0%,0,0%
Quirk Mart,Grand_Total,1,0,0%,1,100%,0,0%,0,0%,0,0%
QuirkyBharat,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
QuirkyBharat,Delhivery Surface,2,2,100%,0,0%,0,0%,0,0%,0,0%
QuirkyBharat,Ekart SHB - 0.5kg,14,1,7%,5,35%,3,21%,1,7%,4,28%
