Seller_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,Exception,Exception_%,In Transit,In_Transit_%,Out For Delivery,Out_For_Delivery_%,RTO,RTO_%
QuirkyBharat,Grand_Total,17,3,17%,5,29%,4,23%,1,5%,4,23%
REVANT DIGITAL,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
REVANT DIGITAL,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
RS gadget house,Bluedart,6,0,0%,1,16%,5,83%,0,0%,0,0%
RS gadget house,Delhivery Surface,4,0,0%,0,0%,4,100%,0,0%,0,0%
RS gadget house,Xpressbees Surface,3,0,0%,0,0%,3,100%,0,0%,0,0%
RS gadget house,Grand_Total,13,0,0%,1,7%,12,92%,0,0%,0,0%
S R INCORPORATION,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
S R INCORPORATION,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
S R INCORPORATION,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
SDK Enterprises,Delhivery Surface,33,12,36%,1,3%,13,39%,2,6%,5,15%
SDK Enterprises,Grand_Total,33,12,36%,1,3%,13,39%,2,6%,5,15%
SK Online,Bluedart,348,259,74%,41,11%,26,7%,22,6%,0,0%
SK Online,DTDC Surface,33,4,12%,1,3%,26,78%,2,6%,0,0%
SK Online,Delhivery Surface,959,70,7%,3,0%,859,89%,21,2%,6,0%
SK Online,Ekart SHB - 0.5kg,17,3,17%,0,0%,14,82%,0,0%,0,0%
SK Online,Xpressbees Surface,8,0,0%,0,0%,8,100%,0,0%,0,0%
SK Online,Grand_Total,1365,336,24%,45,3%,933,68%,45,3%,6,0%
SKYRA VENTURES LLP,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
SKYRA VENTURES LLP,Ekart SHB - 0.5kg,6,0,0%,1,16%,5,83%,0,0%,0,0%
SKYRA VENTURES LLP,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
SKYRA VENTURES LLP,Grand_Total,8,0,0%,1,12%,7,87%,0,0%,0,0%
SMART FORGEN,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
SMART FORGEN,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
SVL eCom Enterprises,Delhivery Surface,57,17,29%,3,5%,27,47%,7,12%,3,5%
SVL eCom Enterprises,Ekart SHB - 0.5kg,6,0,0%,0,0%,6,100%,0,0%,0,0%
SVL eCom Enterprises,Grand_Total,63,17,26%,3,4%,33,52%,7,11%,3,4%
Sameer ecom india,Ekart SHB - 0.5kg,1,0,0%,0,0%,0,0%,1,100%,0,0%
Sameer ecom india,Grand_Total,1,0,0%,0,0%,0,0%,1,100%,0,0%
Sb media,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Sb media,Ekart SHB - 0.5kg,12,0,0%,2,16%,10,83%,0,0%,0,0%
Sb media,Xpressbees Surface,4,0,0%,1,25%,3,75%,0,0%,0,0%
Sb media,Grand_Total,17,0,0%,3,17%,14,82%,0,0%,0,0%
Seller Test,Bluedart Air JIT,1,0,0%,0,0%,1,100%,0,0%,0,0%
Seller Test,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Seller Test,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
Shahdhar Innovative Private Limited,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Shahdhar Innovative Private Limited,Ekart SHB - 0.5kg,2,1,50%,0,0%,1,50%,0,0%,0,0%
Shahdhar Innovative Private Limited,Grand_Total,3,1,33%,0,0%,2,66%,0,0%,0,0%
ShopNiche,Bluedart,75,4,5%,14,18%,53,70%,4,5%,0,0%
ShopNiche,DTDC Surface,73,5,6%,15,20%,48,65%,5,6%,0,0%
ShopNiche,Delhivery Surface,153,11,7%,9,5%,94,61%,19,12%,20,13%
ShopNiche,Ekart SHB - 0.5kg,2171,100,4%,349,16%,1336,61%,176,8%,210,9%
ShopNiche,Xpressbees Surface,504,20,3%,78,15%,303,60%,49,9%,54,10%
ShopNiche,Grand_Total,2976,140,4%,465,15%,1834,61%,253,8%,284,9%
Shopambell,Bluedart,80,26,32%,32,40%,19,23%,3,3%,0,0%
Shopambell,Delhivery Surface,4,1,25%,0,0%,1,25%,1,25%,1,25%
Shopambell,Ekart SHB - 0.5kg,7,1,14%,2,28%,3,42%,1,14%,0,0%
Shopambell,Grand_Total,91,28,30%,34,37%,23,25%,5,5%,1,1%
Shopbajar,Delhivery Surface,12,0,0%,1,8%,8,66%,2,16%,1,8%
Shopbajar,Ekart SHB - 0.5kg,17,1,5%,0,0%,11,64%,5,29%,0,0%
Shopbajar,Grand_Total,29,1,3%,1,3%,19,65%,7,24%,1,3%
Smart Daily Gadgets,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
Smart Daily Gadgets,Ekart SHL - 1kg,1,1,100%,0,0%,0,0%,0,0%,0,0%
Smart Daily Gadgets,Grand_Total,2,2,100%,0,0%,0,0%,0,0%,0,0%
Soni Enterprises,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Soni Enterprises,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Soni Enterprises,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
Sourceinfi,Ekart SHB - 0.5kg,2,0,0%,0,0%,0,0%,0,0%,2,100%
Sourceinfi,Xpressbees Surface,1,0,0%,0,0%,0,0%,0,0%,1,100%
Sourceinfi,Grand_Total,3,0,0%,0,0%,0,0%,0,0%,3,100%
Splendor Picks,Ekart SHB - 0.5kg,1,1,100%,0,0%,0,0%,0,0%,0,0%
Splendor Picks,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
Spoqe Retail,Bluedart,9,2,22%,5,55%,1,11%,1,11%,0,0%
Spoqe Retail,Delhivery Surface,10,0,0%,0,0%,9,90%,1,10%,0,0%
Spoqe Retail,Grand_Total,19,2,10%,5,26%,10,52%,2,10%,0,0%
Spritzo,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
Spritzo,Bluedart Air,1,1,100%,0,0%,0,0%,0,0%,0,0%
Spritzo,Delhivery Surface,2,2,100%,0,0%,0,0%,0,0%,0,0%
Spritzo,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Spritzo,Grand_Total,5,3,60%,0,0%,2,40%,0,0%,0,0%
StealxDeal,Bluedart,1,0,0%,0,0%,1,100%,0,0%,0,0%
StealxDeal,Delhivery Surface,15,0,0%,0,0%,15,100%,0,0%,0,0%
StealxDeal,Ekart SHB - 0.5kg,151,0,0%,6,3%,139,92%,5,3%,1,0%
StealxDeal,Xpressbees Surface,56,0,0%,1,1%,55,98%,0,0%,0,0%
StealxDeal,Grand_Total,223,0,0%,7,3%,210,94%,5,2%,1,0%
Store Apt,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Store Apt,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Suhani Enterprise,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
Suhani Enterprise,Ekart SHB - 0.5kg,3,0,0%,0,0%,0,0%,3,100%,0,0%
Suhani Enterprise,Grand_Total,4,1,25%,0,0%,0,0%,3,75%,0,0%
Suprshop,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Suprshop,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
SwiftBuy,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
SwiftBuy,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
T AND G Enterprises,Bluedart Air,4,0,0%,0,0%,4,100%,0,0%,0,0%
T AND G Enterprises,DTDC Surface,2,0,0%,0,0%,1,50%,1,50%,0,0%
T AND G Enterprises,Delhivery Surface,74,9,12%,2,2%,25,33%,5,6%,33,44%
T AND G Enterprises,Ekart SHB - 0.5kg,1271,32,2%,56,4%,642,50%,16,1%,525,41%
T AND G Enterprises,Xpressbees Surface,106,6,5%,16,15%,35,33%,7,6%,42,39%
T AND G Enterprises,Grand_Total,1457,47,3%,74,5%,707,48%,29,1%,600,41%
TATA AND GUSTO ENTERPRISES,Bluedart,41,5,12%,11,26%,20,48%,5,12%,0,0%
TATA AND GUSTO ENTERPRISES,Bluedart Air,21,14,66%,2,9%,5,23%,0,0%,0,0%
TATA AND GUSTO ENTERPRISES,Delhivery Surface,66,30,45%,2,3%,24,36%,4,6%,6,9%
TATA AND GUSTO ENTERPRISES,Ekart SHB - 0.5kg,71,19,26%,7,9%,31,43%,12,16%,2,2%
TATA AND GUSTO ENTERPRISES,Xpressbees Surface,10,4,40%,0,0%,3,30%,2,20%,1,10%
TATA AND GUSTO ENTERPRISES,Grand_Total,209,72,34%,22,10%,83,39%,23,11%,9,4%
TEP,Bluedart,58,1,1%,0,0%,57,98%,0,0%,0,0%
TEP,DTDC Surface,39,4,10%,5,12%,26,66%,4,10%,0,0%
TEP,Delhivery Surface,102,7,6%,6,5%,64,62%,7,6%,18,17%
TEP,Ekart SHB - 0.5kg,1931,176,9%,238,12%,1181,61%,113,5%,223,11%
TEP,Ekart SHL - 1kg,391,0,0%,7,1%,379,96%,5,1%,0,0%
TEP,Xpressbees Surface,306,18,5%,33,10%,200,65%,20,6%,35,11%
TEP,Grand_Total,2827,206,7%,289,10%,1907,67%,149,5%,276,9%
THE RAGHAV GROUP,Ekart SHB - 0.5kg,6,0,0%,0,0%,6,100%,0,0%,0,0%
THE RAGHAV GROUP,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
THE RAGHAV GROUP,Grand_Total,8,0,0%,0,0%,8,100%,0,0%,0,0%
TheKrafti,Ekart SHB - 0.5kg,35,15,42%,2,5%,14,40%,4,11%,0,0%
TheKrafti,Xpressbees Surface,8,3,37%,2,25%,2,25%,1,12%,0,0%
TheKrafti,Grand_Total,43,18,41%,4,9%,16,37%,5,11%,0,0%
Thenanodesigns,DTDC Surface,4,1,25%,0,0%,3,75%,0,0%,0,0%
Thenanodesigns,Ekart SHB - 0.5kg,60,32,53%,4,6%,15,25%,3,5%,6,10%
Thenanodesigns,Grand_Total,64,33,51%,4,6%,18,28%,3,4%,6,9%
These authority.shop,DTDC Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
These authority.shop,Delhivery Surface,8,1,12%,1,12%,5,62%,0,0%,1,12%
These authority.shop,Ekart SHB - 0.5kg,33,1,3%,1,3%,31,93%,0,0%,0,0%
These authority.shop,Xpressbees Surface,5,0,0%,0,0%,5,100%,0,0%,0,0%
These authority.shop,Grand_Total,47,3,6%,2,4%,41,87%,0,0%,1,2%
Trandysales,Delhivery Surface,26,0,0%,1,3%,24,92%,1,3%,0,0%
Trandysales,Ekart SHB - 0.5kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
Trandysales,Grand_Total,28,0,0%,1,3%,26,92%,1,3%,0,0%
Trend Kart,Delhivery Surface,3,0,0%,0,0%,0,0%,1,33%,2,66%
Trend Kart,Grand_Total,3,0,0%,0,0%,0,0%,1,33%,2,66%
TrendyBot,Bluedart,38,5,13%,9,23%,24,63%,0,0%,0,0%
TrendyBot,Delhivery Surface,41,6,14%,2,4%,23,56%,3,7%,7,17%
TrendyBot,Ekart SHB - 0.5kg,141,17,12%,18,12%,85,60%,10,7%,11,7%
TrendyBot,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
TrendyBot,Grand_Total,222,28,12%,29,13%,134,60%,13,5%,18,8%
TrendyStockk shop,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
TrendyStockk shop,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
UTH Retail,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
UTH Retail,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
Urban Koncept,Delhivery Surface,8,0,0%,0,0%,5,62%,3,37%,0,0%
Urban Koncept,Grand_Total,8,0,0%,0,0%,5,62%,3,37%,0,0%
Urban Sales,Bluedart,7,1,14%,0,0%,5,71%,1,14%,0,0%
Urban Sales,Ekart SHB - 0.5kg,1,0,0%,0,0%,0,0%,0,0%,1,100%
Urban Sales,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Urban Sales,Grand_Total,10,1,10%,0,0%,7,70%,1,10%,1,10%
UrbanVibess,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
UrbanVibess,Ekart SHB - 0.5kg,5,1,20%,0,0%,3,60%,1,20%,0,0%
UrbanVibess,Xpressbees Surface,2,0,0%,1,50%,1,50%,0,0%,0,0%
UrbanVibess,Grand_Total,8,1,12%,1,12%,5,62%,1,12%,0,0%
Vadati,Ekart SHB - 0.5kg,5,1,20%,1,20%,3,60%,0,0%,0,0%
Vadati,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Vadati,Grand_Total,6,1,16%,1,16%,4,66%,0,0%,0,0%
WEAR MADNESS,Bluedart,2,0,0%,1,50%,1,50%,0,0%,0,0%
WEAR MADNESS,Bluedart Air,1,0,0%,1,100%,0,0%,0,0%,0,0%
WEAR MADNESS,Delhivery Surface,3,0,0%,0,0%,2,66%,0,0%,1,33%
WEAR MADNESS,Ekart SHB - 0.5kg,6,3,50%,0,0%,3,50%,0,0%,0,0%
WEAR MADNESS,Grand_Total,12,3,25%,2,16%,6,50%,0,0%,1,8%
Weshopee,Bluedart,30,2,6%,5,16%,22,73%,1,3%,0,0%
Weshopee,Bluedart Air,20,0,0%,7,35%,8,40%,5,25%,0,0%
Weshopee,DTDC Surface,4,0,0%,1,25%,3,75%,0,0%,0,0%
Weshopee,Delhivery Surface,28,0,0%,2,7%,20,71%,6,21%,0,0%
Weshopee,Ekart SHB - 0.5kg,306,27,8%,34,11%,194,63%,36,11%,15,4%
Weshopee,Ekart STO - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Weshopee,Xpressbees Surface,25,2,8%,2,8%,16,64%,3,12%,2,8%
Weshopee,Grand_Total,414,31,7%,51,12%,264,63%,51,12%,17,4%
Whats Going Viral,Bluedart,24,3,12%,0,0%,21,87%,0,0%,0,0%
Whats Going Viral,Bluedart Air,12,10,83%,1,8%,0,0%,1,8%,0,0%
Whats Going Viral,Grand_Total,36,13,36%,1,2%,21,58%,1,2%,0,0%
Wings of Design,Ekart SHB - 0.5kg,13,3,23%,4,30%,3,23%,1,7%,2,15%
Wings of Design,Grand_Total,13,3,23%,4,30%,3,23%,1,7%,2,15%
Workos Technologies Pvt. Ltd.,Bluedart Air,1,0,0%,1,100%,0,0%,0,0%,0,0%
Workos Technologies Pvt. Ltd.,DTDC Surface,3,0,0%,0,0%,2,66%,1,33%,0,0%
Workos Technologies Pvt. Ltd.,Delhivery Surface,1805,389,21%,59,3%,1159,64%,109,6%,89,4%
Workos Technologies Pvt. Ltd.,Ekart SHB - 0.5kg,74,8,10%,7,9%,48,64%,8,10%,3,4%
Workos Technologies Pvt. Ltd.,Xpressbees Surface,10,0,0%,1,10%,8,80%,1,10%,0,0%
Workos Technologies Pvt. Ltd.,Grand_Total,1893,397,20%,68,3%,1217,64%,119,6%,92,4%
Yadgir Prakash Kumar,Ekart SHB - 0.5kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
Yadgir Prakash Kumar,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
Yash Store,Bluedart,12,1,8%,1,8%,8,66%,2,16%,0,0%
Yash Store,Delhivery Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Yash Store,Xpressbees Surface,4,0,0%,1,25%,3,75%,0,0%,0,0%
Yash Store,Grand_Total,18,1,5%,2,11%,13,72%,2,11%,0,0%
Your Online Shoppy,Delhivery Surface,1,0,0%,0,0%,0,0%,1,100%,0,0%
Your Online Shoppy,Ekart SHB - 0.5kg,12,0,0%,0,0%,8,66%,4,33%,0,0%
Your Online Shoppy,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
Your Online Shoppy,Grand_Total,15,0,0%,0,0%,10,66%,5,33%,0,0%
Zaabuy,Bluedart,5,0,0%,0,0%,5,100%,0,0%,0,0%
Zaabuy,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
Zaabuy,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Zaabuy,Grand_Total,7,0,0%,0,0%,7,100%,0,0%,0,0%
Zantra,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
Zantra,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
asifcentre,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
asifcentre,Ekart SHB - 0.5kg,5,0,0%,0,0%,5,100%,0,0%,0,0%
asifcentre,Grand_Total,6,0,0%,0,0%,6,100%,0,0%,0,0%
clickshopshipindia,Delhivery Surface,1,1,100%,0,0%,0,0%,0,0%,0,0%
clickshopshipindia,Grand_Total,1,1,100%,0,0%,0,0%,0,0%,0,0%
crystal culture,Delhivery Surface,59,7,11%,8,13%,26,44%,9,15%,9,15%
crystal culture,Ekart SHB - 0.5kg,505,30,5%,104,20%,288,57%,71,14%,12,2%
crystal culture,Xpressbees Surface,156,14,8%,28,17%,82,52%,17,10%,15,9%
crystal culture,Grand_Total,720,51,7%,140,19%,396,55%,97,13%,36,5%
eShoppers Store,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
eShoppers Store,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
ecomdeeshan,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
ecomdeeshan,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
homfy,Ekart SHL - 1kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
homfy,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
lotusshop,DTDC Surface,13,0,0%,1,7%,9,69%,3,23%,0,0%
lotusshop,Delhivery Surface,79,1,1%,4,5%,62,78%,5,6%,7,8%
lotusshop,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
lotusshop,Ekart SHL - 1kg,889,28,3%,76,8%,697,78%,48,5%,40,4%
lotusshop,Xpressbees Surface,117,4,3%,16,13%,85,72%,3,2%,9,7%
lotusshop,Grand_Total,1099,33,3%,97,8%,854,77%,59,5%,56,5%
multideal,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
multideal,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
mustfind shop,Ekart SHB - 0.5kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
mustfind shop,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
mustfind shop,Grand_Total,3,0,0%,0,0%,3,100%,0,0%,0,0%
romeomart,DTDC Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
romeomart,Delhivery Surface,29,1,3%,0,0%,27,93%,1,3%,0,0%
romeomart,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
romeomart,Grand_Total,32,1,3%,0,0%,30,93%,1,3%,0,0%
savikart,Delhivery Surface,3,0,0%,0,0%,0,0%,0,0%,3,100%
savikart,Ekart SHB - 0.5kg,7,1,14%,1,14%,2,28%,1,14%,2,28%
savikart,Grand_Total,10,1,10%,1,10%,2,20%,1,10%,5,50%
shopbavk,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
shopbavk,Ekart SHB - 0.5kg,3,0,0%,0,0%,1,33%,2,66%,0,0%
shopbavk,Xpressbees Surface,3,0,0%,1,33%,0,0%,1,33%,1,33%
shopbavk,Grand_Total,7,0,0%,1,14%,2,28%,3,42%,1,14%
shopbie,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
shopbie,Ekart SHB - 0.5kg,4,0,0%,0,0%,4,100%,0,0%,0,0%
shopbie,Grand_Total,5,0,0%,0,0%,5,100%,0,0%,0,0%
smartshophub,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
smartshophub,Grand_Total,3,0,0%,0,0%,3,100%,0,0%,0,0%
snapcart24,DTDC Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
snapcart24,Delhivery Surface,5,0,0%,0,0%,3,60%,1,20%,1,20%
snapcart24,Ekart SHB - 0.5kg,23,2,8%,4,17%,13,56%,4,17%,0,0%
snapcart24,Ekart STO - 0.5kg,11,1,9%,1,9%,4,36%,5,45%,0,0%
snapcart24,Xpressbees Surface,5,0,0%,0,0%,3,60%,2,40%,0,0%
snapcart24,Grand_Total,45,3,6%,5,11%,24,53%,12,26%,1,2%
soham trading co,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
soham trading co,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
soprify,Ekart SHB - 0.5kg,1,0,0%,0,0%,1,100%,0,0%,0,0%
soprify,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
soprify,Grand_Total,2,0,0%,0,0%,2,100%,0,0%,0,0%
sysmy.in,DTDC Surface,1,0,0%,1,100%,0,0%,0,0%,0,0%
sysmy.in,Ekart SHB - 0.5kg,1,1,100%,0,0%,0,0%,0,0%,0,0%
sysmy.in,Grand_Total,2,1,50%,1,50%,0,0%,0,0%,0,0%
theunbiasedreview,DTDC Surface,9,0,0%,3,33%,6,66%,0,0%,0,0%
theunbiasedreview,Delhivery Surface,1580,194,12%,112,7%,1016,64%,159,10%,99,6%
theunbiasedreview,Xpressbees Surface,48,8,16%,6,12%,29,60%,3,6%,2,4%
theunbiasedreview,Grand_Total,1637,202,12%,121,7%,1051,64%,162,9%,101,6%
urban wagon,Bluedart,8,0,0%,0,0%,8,100%,0,0%,0,0%
urban wagon,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
urban wagon,Ekart SHB - 0.5kg,7,0,0%,0,0%,7,100%,0,0%,0,0%
urban wagon,Grand_Total,16,0,0%,0,0%,16,100%,0,0%,0,0%
veusy,Bluedart,7,2,28%,4,57%,0,0%,1,14%,0,0%
veusy,Delhivery Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
veusy,Xpressbees Surface,1,0,0%,0,0%,0,0%,0,0%,1,100%
veusy,Grand_Total,9,2,22%,4,44%,1,11%,1,11%,1,11%
zudeio,Delhivery Surface,6,1,16%,0,0%,3,50%,1,16%,1,16%
zudeio,Ekart SHB - 0.5kg,94,12,12%,18,19%,39,41%,24,25%,1,1%
zudeio,Xpressbees Surface,7,1,14%,1,14%,5,71%,0,0%,0,0%
zudeio,Grand_Total,107,14,13%,19,17%,47,43%,25,23%,2,1%
