Vendor_Name,Courier_Category,Grand_Total,Delivered,Delivered_%,Exception,Exception_%,In Transit,In_Transit_%,Out For Delivery,Out_For_Delivery_%,RTO,RTO_%
AVON IMPEX,Bluedart,1,0,0%,0,0%,0,0%,1,100%,0,0%
AVON IMPEX,Bluedart Air,129,2,1%,4,3%,100,77%,23,17%,0,0%
AVON IMPEX,Delhivery Surface DT,6,0,0%,0,0%,6,100%,0,0%,0,0%
AVON IMPEX,Shipway Delhivery,21,0,0%,0,0%,21,100%,0,0%,0,0%
AVON IMPEX,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
AVON IMPEX,Grand_Total,158,2,1%,4,2%,128,81%,24,15%,0,0%
Acetech Ventures,Xpressbees Surface,34,0,0%,0,0%,34,100%,0,0%,0,0%
Acetech Ventures,Grand_Total,34,0,0%,0,0%,34,100%,0,0%,0,0%
CRAVINGS,Xpressbees Surface,9,0,0%,0,0%,9,100%,0,0%,0,0%
CRAVINGS,Grand_Total,9,0,0%,0,0%,9,100%,0,0%,0,0%
DHANSHREE ENTERPRISE,Ekart STL -  1kg,42,0,0%,0,0%,42,100%,0,0%,0,0%
DHANSHREE ENTERPRISE,Xpressbees Surface,40,0,0%,0,0%,39,97%,0,0%,1,2%
DHANSHREE ENTERPRISE,Grand_Total,82,0,0%,0,0%,81,98%,0,0%,1,1%
DHIYA ENTERPRISE,Ekart STL -  1kg,209,0,0%,0,0%,209,100%,0,0%,0,0%
DHIYA ENTERPRISE,Shadowfax,4,0,0%,0,0%,4,100%,0,0%,0,0%
DHIYA ENTERPRISE,Xpressbees Surface,46,0,0%,0,0%,43,93%,0,0%,3,6%
DHIYA ENTERPRISE,Grand_Total,259,0,0%,0,0%,256,98%,0,0%,3,1%
DM ENTERPRISE,Ekart STL -  1kg,215,0,0%,0,0%,215,100%,0,0%,0,0%
DM ENTERPRISE,Shadowfax,1,0,0%,0,0%,1,100%,0,0%,0,0%
DM ENTERPRISE,Xpressbees Surface,62,0,0%,0,0%,61,98%,0,0%,1,1%
DM ENTERPRISE,Grand_Total,278,0,0%,0,0%,277,99%,0,0%,1,0%
HARSHIV ENTERPRISE,Ekart STL -  1kg,231,0,0%,0,0%,231,100%,0,0%,0,0%
HARSHIV ENTERPRISE,Shadowfax,8,0,0%,0,0%,8,100%,0,0%,0,0%
HARSHIV ENTERPRISE,Xpressbees Surface,85,0,0%,0,0%,85,100%,0,0%,0,0%
HARSHIV ENTERPRISE,Grand_Total,324,0,0%,0,0%,324,100%,0,0%,0,0%
KATYANI TRADERS,Bluedart Air,34,0,0%,0,0%,30,88%,4,11%,0,0%
KATYANI TRADERS,DTDC Surface 0.5KG,2,0,0%,0,0%,2,100%,0,0%,0,0%
KATYANI TRADERS,Ekart,1,0,0%,0,0%,1,100%,0,0%,0,0%
KATYANI TRADERS,Shadowfax,13,0,0%,0,0%,13,100%,0,0%,0,0%
KATYANI TRADERS,Xpressbees Surface,2,0,0%,0,0%,2,100%,0,0%,0,0%
KATYANI TRADERS,Grand_Total,52,0,0%,0,0%,48,92%,4,7%,0,0%
Lazy Window LLP,DTDC Surface 0.5KG,10,0,0%,0,0%,10,100%,0,0%,0,0%
Lazy Window LLP,Ekart STL -  1kg,667,0,0%,3,0%,658,98%,6,0%,0,0%
Lazy Window LLP,Shadowfax,17,0,0%,0,0%,17,100%,0,0%,0,0%
Lazy Window LLP,Xpressbees Surface,124,0,0%,4,3%,110,88%,4,3%,6,4%
Lazy Window LLP,Grand_Total,818,0,0%,7,0%,795,97%,10,1%,6,0%
M K STYLISH,Bluedart,26,3,11%,3,11%,19,73%,1,3%,0,0%
M K STYLISH,Ekart SHB - 0.5kg,9,0,0%,0,0%,9,100%,0,0%,0,0%
M K STYLISH,Shipway Delhivery,3,0,0%,0,0%,3,100%,0,0%,0,0%
M K STYLISH,Grand_Total,38,3,7%,3,7%,31,81%,1,2%,0,0%
Pironix,Bluedart Surface,6,0,0%,0,0%,6,100%,0,0%,0,0%
Pironix,Shipway Delhivery,8,0,0%,0,0%,8,100%,0,0%,0,0%
Pironix,Xpressbees Surface,4,0,0%,0,0%,4,100%,0,0%,0,0%
Pironix,Grand_Total,18,0,0%,0,0%,18,100%,0,0%,0,0%
RS Traders,Ekart STO - 0.5kg,2,0,0%,0,0%,2,100%,0,0%,0,0%
RS Traders,Xpressbees Surface,1,0,0%,0,0%,1,100%,0,0%,0,0%
RS Traders,Grand_Total,3,0,0%,0,0%,3,100%,0,0%,0,0%
S S & Co.,DTDC Surface 0.5KG,1,0,0%,0,0%,1,100%,0,0%,0,0%
S S & Co.,Ekart STL -  1kg,228,0,0%,0,0%,228,100%,0,0%,0,0%
S S & Co.,Shadowfax,16,0,0%,0,0%,16,100%,0,0%,0,0%
S S & Co.,Xpressbees Surface,23,0,0%,0,0%,23,100%,0,0%,0,0%
S S & Co.,Grand_Total,268,0,0%,0,0%,268,100%,0,0%,0,0%
SARVAH PHARMA,Bluedart,51,0,0%,0,0%,40,78%,11,21%,0,0%
SARVAH PHARMA,DTDC Surface 0.5KG,1,0,0%,0,0%,1,100%,0,0%,0,0%
SARVAH PHARMA,Ekart SHB - 0.5kg,3,0,0%,0,0%,3,100%,0,0%,0,0%
SARVAH PHARMA,Shadowfax,1,0,0%,0,0%,1,100%,0,0%,0,0%
SARVAH PHARMA,Shipway Delhivery,4,0,0%,0,0%,4,100%,0,0%,0,0%
SARVAH PHARMA,Xpressbees Surface,10,0,0%,0,0%,8,80%,0,0%,2,20%
SARVAH PHARMA,Grand_Total,70,0,0%,0,0%,57,81%,11,15%,2,2%
SELL NET RETAIL,Shadowfax,1,0,0%,0,0%,1,100%,0,0%,0,0%
SELL NET RETAIL,Grand_Total,1,0,0%,0,0%,1,100%,0,0%,0,0%
SHAKTI ENTERPRISE,Ekart STL -  1kg,251,0,0%,0,0%,250,99%,1,0%,0,0%
SHAKTI ENTERPRISE,Shadowfax,4,0,0%,0,0%,4,100%,0,0%,0,0%
SHAKTI ENTERPRISE,Xpressbees Surface,26,0,0%,0,0%,26,100%,0,0%,0,0%
SHAKTI ENTERPRISE,Grand_Total,281,0,0%,0,0%,280,99%,1,0%,0,0%
SS INTERNATIONAL,Ekart SHB - 0.5kg,32,0,0%,0,0%,31,96%,1,3%,0,0%
SS INTERNATIONAL,Shadowfax,1,0,0%,0,0%,1,100%,0,0%,0,0%
SS INTERNATIONAL,Xpressbees Surface,6,0,0%,0,0%,6,100%,0,0%,0,0%
SS INTERNATIONAL,Grand_Total,39,0,0%,0,0%,38,97%,1,2%,0,0%
Vivek g enterprises,Ekart STO - 0.5kg,5,0,0%,0,0%,4,80%,1,20%,0,0%
Vivek g enterprises,Grand_Total,5,0,0%,0,0%,4,80%,1,20%,0,0%
